"MEASURE","Measure","SEX_ABS","Sex","AGE","Age","REGIONTYPE","Geography Level","ASGS_2016","Region","FREQUENCY","Frequency","TIME","Time","Value","Flag Codes","Flags"
"ERP","Estimated Resident Population","1","Males","A04","0 - 4","SA2","Statistical Area Level 2","102021046","Budgewoi - Buff Point - Halekulani","A","Annual","2016","2016",332,,
"ERP","Estimated Resident Population","2","Females","A04","0 - 4","SA2","Statistical Area Level 2","102021046","Budgewoi - Buff Point - Halekulani","A","Annual","2016","2016",271,,
"ERP","Estimated Resident Population","1","Males","A04","0 - 4","SA2","Statistical Area Level 2","102021047","Chittaway Bay - Tumbi Umbi","A","Annual","2016","2016",502,,
"ERP","Estimated Resident Population","2","Females","A04","0 - 4","SA2","Statistical Area Level 2","102021047","Chittaway Bay - Tumbi Umbi","A","Annual","2016","2016",491,,
"ERP","Estimated Resident Population","1","Males","A04","0 - 4","SA2","Statistical Area Level 2","102021048","Gorokan - Kanwal - Charmhaven","A","Annual","2016","2016",687,,
"ERP","Estimated Resident Population","2","Females","A04","0 - 4","SA2","Statistical Area Level 2","102021048","Gorokan - Kanwal - Charmhaven","A","Annual","2016","2016",650,,
"ERP","Estimated Resident Population","1","Males","A04","0 - 4","SA2","Statistical Area Level 2","102021049","Jilliby - Yarramalong","A","Annual","2016","2016",104,,
"ERP","Estimated Resident Population","2","Females","A04","0 - 4","SA2","Statistical Area Level 2","102021049","Jilliby - Yarramalong","A","Annual","2016","2016",87,,
"ERP","Estimated Resident Population","1","Males","A04","0 - 4","SA2","Statistical Area Level 2","102021050","Lake Munmorah - Mannering Park","A","Annual","2016","2016",286,,
"ERP","Estimated Resident Population","2","Females","A04","0 - 4","SA2","Statistical Area Level 2","102021050","Lake Munmorah - Mannering Park","A","Annual","2016","2016",301,,
"ERP","Estimated Resident Population","1","Males","A04","0 - 4","SA2","Statistical Area Level 2","102021051","Ourimbah - Fountaindale","A","Annual","2016","2016",157,,
"ERP","Estimated Resident Population","2","Females","A04","0 - 4","SA2","Statistical Area Level 2","102021051","Ourimbah - Fountaindale","A","Annual","2016","2016",132,,
"ERP","Estimated Resident Population","1","Males","A04","0 - 4","SA2","Statistical Area Level 2","102021052","Summerland Point - Gwandalan","A","Annual","2016","2016",175,,
"ERP","Estimated Resident Population","2","Females","A04","0 - 4","SA2","Statistical Area Level 2","102021052","Summerland Point - Gwandalan","A","Annual","2016","2016",160,,
"ERP","Estimated Resident Population","1","Males","A04","0 - 4","SA2","Statistical Area Level 2","102021053","The Entrance","A","Annual","2016","2016",449,,
"ERP","Estimated Resident Population","2","Females","A04","0 - 4","SA2","Statistical Area Level 2","102021053","The Entrance","A","Annual","2016","2016",427,,
"ERP","Estimated Resident Population","1","Males","A04","0 - 4","SA2","Statistical Area Level 2","102021054","Toukley - Norah Head","A","Annual","2016","2016",307,,
"ERP","Estimated Resident Population","2","Females","A04","0 - 4","SA2","Statistical Area Level 2","102021054","Toukley - Norah Head","A","Annual","2016","2016",286,,
"ERP","Estimated Resident Population","1","Males","A04","0 - 4","SA2","Statistical Area Level 2","102021055","Tuggerah - Kangy Angy","A","Annual","2016","2016",217,,
"ERP","Estimated Resident Population","2","Females","A04","0 - 4","SA2","Statistical Area Level 2","102021055","Tuggerah - Kangy Angy","A","Annual","2016","2016",182,,
"ERP","Estimated Resident Population","1","Males","A04","0 - 4","SA2","Statistical Area Level 2","102021056","Warnervale - Wadalba","A","Annual","2016","2016",585,,
"ERP","Estimated Resident Population","2","Females","A04","0 - 4","SA2","Statistical Area Level 2","102021056","Warnervale - Wadalba","A","Annual","2016","2016",615,,
"ERP","Estimated Resident Population","1","Males","A04","0 - 4","SA2","Statistical Area Level 2","102021057","Wyong","A","Annual","2016","2016",291,,
"ERP","Estimated Resident Population","2","Females","A04","0 - 4","SA2","Statistical Area Level 2","102021057","Wyong","A","Annual","2016","2016",295,,
"ERP","Estimated Resident Population","1","Males","A04","0 - 4","SA2","Statistical Area Level 2","115011290","Baulkham Hills (East)","A","Annual","2016","2016",962,,
"ERP","Estimated Resident Population","2","Females","A04","0 - 4","SA2","Statistical Area Level 2","115011290","Baulkham Hills (East)","A","Annual","2016","2016",880,,
"ERP","Estimated Resident Population","1","Males","A04","0 - 4","SA2","Statistical Area Level 2","115011291","Baulkham Hills (West) - Bella Vista","A","Annual","2016","2016",610,,
"ERP","Estimated Resident Population","2","Females","A04","0 - 4","SA2","Statistical Area Level 2","115011291","Baulkham Hills (West) - Bella Vista","A","Annual","2016","2016",609,,
"ERP","Estimated Resident Population","1","Males","A04","0 - 4","SA2","Statistical Area Level 2","115011294","Glenhaven","A","Annual","2016","2016",171,,
"ERP","Estimated Resident Population","2","Females","A04","0 - 4","SA2","Statistical Area Level 2","115011294","Glenhaven","A","Annual","2016","2016",150,,
"ERP","Estimated Resident Population","1","Males","A04","0 - 4","SA2","Statistical Area Level 2","115011296","West Pennant Hills","A","Annual","2016","2016",355,,
"ERP","Estimated Resident Population","2","Females","A04","0 - 4","SA2","Statistical Area Level 2","115011296","West Pennant Hills","A","Annual","2016","2016",334,,
"ERP","Estimated Resident Population","1","Males","A04","0 - 4","SA2","Statistical Area Level 2","115011553","Castle Hill - Central","A","Annual","2016","2016",293,,
"ERP","Estimated Resident Population","2","Females","A04","0 - 4","SA2","Statistical Area Level 2","115011553","Castle Hill - Central","A","Annual","2016","2016",280,,
"ERP","Estimated Resident Population","1","Males","A04","0 - 4","SA2","Statistical Area Level 2","115011554","Castle Hill - East","A","Annual","2016","2016",101,,
"ERP","Estimated Resident Population","2","Females","A04","0 - 4","SA2","Statistical Area Level 2","115011554","Castle Hill - East","A","Annual","2016","2016",99,,
"ERP","Estimated Resident Population","1","Males","A04","0 - 4","SA2","Statistical Area Level 2","115011555","Castle Hill - North","A","Annual","2016","2016",327,,
"ERP","Estimated Resident Population","2","Females","A04","0 - 4","SA2","Statistical Area Level 2","115011555","Castle Hill - North","A","Annual","2016","2016",289,,
"ERP","Estimated Resident Population","1","Males","A04","0 - 4","SA2","Statistical Area Level 2","115011556","Castle Hill - South","A","Annual","2016","2016",315,,
"ERP","Estimated Resident Population","2","Females","A04","0 - 4","SA2","Statistical Area Level 2","115011556","Castle Hill - South","A","Annual","2016","2016",348,,
"ERP","Estimated Resident Population","1","Males","A04","0 - 4","SA2","Statistical Area Level 2","115011557","Castle Hill - West","A","Annual","2016","2016",163,,
"ERP","Estimated Resident Population","2","Females","A04","0 - 4","SA2","Statistical Area Level 2","115011557","Castle Hill - West","A","Annual","2016","2016",147,,
"ERP","Estimated Resident Population","1","Males","A04","0 - 4","SA2","Statistical Area Level 2","115011558","Cherrybrook","A","Annual","2016","2016",437,,
"ERP","Estimated Resident Population","2","Females","A04","0 - 4","SA2","Statistical Area Level 2","115011558","Cherrybrook","A","Annual","2016","2016",410,,
"ERP","Estimated Resident Population","1","Males","A04","0 - 4","SA2","Statistical Area Level 2","115011559","Kellyville","A","Annual","2016","2016",858,,
"ERP","Estimated Resident Population","2","Females","A04","0 - 4","SA2","Statistical Area Level 2","115011559","Kellyville","A","Annual","2016","2016",830,,
"ERP","Estimated Resident Population","1","Males","A04","0 - 4","SA2","Statistical Area Level 2","115021297","Dural - Kenthurst - Wisemans Ferry","A","Annual","2016","2016",576,,
"ERP","Estimated Resident Population","2","Females","A04","0 - 4","SA2","Statistical Area Level 2","115021297","Dural - Kenthurst - Wisemans Ferry","A","Annual","2016","2016",541,,
"ERP","Estimated Resident Population","1","Males","A04","0 - 4","SA2","Statistical Area Level 2","115021298","Galston - Laughtondale","A","Annual","2016","2016",148,,
"ERP","Estimated Resident Population","2","Females","A04","0 - 4","SA2","Statistical Area Level 2","115021298","Galston - Laughtondale","A","Annual","2016","2016",111,,
"ERP","Estimated Resident Population","1","Males","A04","0 - 4","SA2","Statistical Area Level 2","115031299","Bilpin - Colo - St Albans","A","Annual","2016","2016",78,,
"ERP","Estimated Resident Population","2","Females","A04","0 - 4","SA2","Statistical Area Level 2","115031299","Bilpin - Colo - St Albans","A","Annual","2016","2016",76,,
"ERP","Estimated Resident Population","1","Males","A04","0 - 4","SA2","Statistical Area Level 2","115031300","Kurrajong Heights - Ebenezer","A","Annual","2016","2016",742,,
"ERP","Estimated Resident Population","2","Females","A04","0 - 4","SA2","Statistical Area Level 2","115031300","Kurrajong Heights - Ebenezer","A","Annual","2016","2016",664,,
"ERP","Estimated Resident Population","1","Males","A04","0 - 4","SA2","Statistical Area Level 2","115041301","Pitt Town - McGraths Hill","A","Annual","2016","2016",391,,
"ERP","Estimated Resident Population","2","Females","A04","0 - 4","SA2","Statistical Area Level 2","115041301","Pitt Town - McGraths Hill","A","Annual","2016","2016",378,,
"ERP","Estimated Resident Population","1","Males","A04","0 - 4","SA2","Statistical Area Level 2","115041302","Rouse Hill - Beaumont Hills","A","Annual","2016","2016",909,,
"ERP","Estimated Resident Population","2","Females","A04","0 - 4","SA2","Statistical Area Level 2","115041302","Rouse Hill - Beaumont Hills","A","Annual","2016","2016",834,,
"ERP","Estimated Resident Population","1","Males","A04","0 - 4","SA2","Statistical Area Level 2","116011303","Blacktown (East) - Kings Park","A","Annual","2016","2016",841,,
"ERP","Estimated Resident Population","2","Females","A04","0 - 4","SA2","Statistical Area Level 2","116011303","Blacktown (East) - Kings Park","A","Annual","2016","2016",854,,
"ERP","Estimated Resident Population","1","Males","A04","0 - 4","SA2","Statistical Area Level 2","116011304","Blacktown (North) - Marayong","A","Annual","2016","2016",740,,
"ERP","Estimated Resident Population","2","Females","A04","0 - 4","SA2","Statistical Area Level 2","116011304","Blacktown (North) - Marayong","A","Annual","2016","2016",677,,
"ERP","Estimated Resident Population","1","Males","A04","0 - 4","SA2","Statistical Area Level 2","116011306","Doonside - Woodcroft","A","Annual","2016","2016",868,,
"ERP","Estimated Resident Population","2","Females","A04","0 - 4","SA2","Statistical Area Level 2","116011306","Doonside - Woodcroft","A","Annual","2016","2016",786,,
"ERP","Estimated Resident Population","1","Males","A04","0 - 4","SA2","Statistical Area Level 2","116011307","Lalor Park - Kings Langley","A","Annual","2016","2016",963,,
"ERP","Estimated Resident Population","2","Females","A04","0 - 4","SA2","Statistical Area Level 2","116011307","Lalor Park - Kings Langley","A","Annual","2016","2016",958,,
"ERP","Estimated Resident Population","1","Males","A04","0 - 4","SA2","Statistical Area Level 2","116011308","Seven Hills - Toongabbie","A","Annual","2016","2016",924,,
"ERP","Estimated Resident Population","2","Females","A04","0 - 4","SA2","Statistical Area Level 2","116011308","Seven Hills - Toongabbie","A","Annual","2016","2016",839,,
"ERP","Estimated Resident Population","1","Males","A04","0 - 4","SA2","Statistical Area Level 2","116011560","Blacktown (South)","A","Annual","2016","2016",483,,
"ERP","Estimated Resident Population","2","Females","A04","0 - 4","SA2","Statistical Area Level 2","116011560","Blacktown (South)","A","Annual","2016","2016",454,,
"ERP","Estimated Resident Population","1","Males","A04","0 - 4","SA2","Statistical Area Level 2","116011561","Blacktown (West)","A","Annual","2016","2016",647,,
"ERP","Estimated Resident Population","2","Females","A04","0 - 4","SA2","Statistical Area Level 2","116011561","Blacktown (West)","A","Annual","2016","2016",643,,
"ERP","Estimated Resident Population","1","Males","A04","0 - 4","SA2","Statistical Area Level 2","116021309","Glenwood","A","Annual","2016","2016",572,,
"ERP","Estimated Resident Population","2","Females","A04","0 - 4","SA2","Statistical Area Level 2","116021309","Glenwood","A","Annual","2016","2016",567,,
"ERP","Estimated Resident Population","1","Males","A04","0 - 4","SA2","Statistical Area Level 2","116021310","Parklea - Kellyville Ridge","A","Annual","2016","2016",1684,,
"ERP","Estimated Resident Population","2","Females","A04","0 - 4","SA2","Statistical Area Level 2","116021310","Parklea - Kellyville Ridge","A","Annual","2016","2016",1621,,
"ERP","Estimated Resident Population","1","Males","A04","0 - 4","SA2","Statistical Area Level 2","116021312","Riverstone - Marsden Park","A","Annual","2016","2016",807,,
"ERP","Estimated Resident Population","2","Females","A04","0 - 4","SA2","Statistical Area Level 2","116021312","Riverstone - Marsden Park","A","Annual","2016","2016",774,,
"ERP","Estimated Resident Population","1","Males","A04","0 - 4","SA2","Statistical Area Level 2","116021562","Acacia Gardens","A","Annual","2016","2016",182,,
"ERP","Estimated Resident Population","2","Females","A04","0 - 4","SA2","Statistical Area Level 2","116021562","Acacia Gardens","A","Annual","2016","2016",142,,
"ERP","Estimated Resident Population","1","Males","A04","0 - 4","SA2","Statistical Area Level 2","116021563","Quakers Hill","A","Annual","2016","2016",1031,,
"ERP","Estimated Resident Population","2","Females","A04","0 - 4","SA2","Statistical Area Level 2","116021563","Quakers Hill","A","Annual","2016","2016",1014,,
"ERP","Estimated Resident Population","1","Males","A04","0 - 4","SA2","Statistical Area Level 2","116031313","Bidwill - Hebersham - Emerton","A","Annual","2016","2016",887,,
"ERP","Estimated Resident Population","2","Females","A04","0 - 4","SA2","Statistical Area Level 2","116031313","Bidwill - Hebersham - Emerton","A","Annual","2016","2016",799,,
"ERP","Estimated Resident Population","1","Males","A04","0 - 4","SA2","Statistical Area Level 2","116031314","Glendenning - Dean Park","A","Annual","2016","2016",387,,
"ERP","Estimated Resident Population","2","Females","A04","0 - 4","SA2","Statistical Area Level 2","116031314","Glendenning - Dean Park","A","Annual","2016","2016",384,,
"ERP","Estimated Resident Population","1","Males","A04","0 - 4","SA2","Statistical Area Level 2","116031315","Hassall Grove - Plumpton","A","Annual","2016","2016",794,,
"ERP","Estimated Resident Population","2","Females","A04","0 - 4","SA2","Statistical Area Level 2","116031315","Hassall Grove - Plumpton","A","Annual","2016","2016",762,,
"ERP","Estimated Resident Population","1","Males","A04","0 - 4","SA2","Statistical Area Level 2","116031316","Lethbridge Park - Tregear","A","Annual","2016","2016",1130,,
"ERP","Estimated Resident Population","2","Females","A04","0 - 4","SA2","Statistical Area Level 2","116031316","Lethbridge Park - Tregear","A","Annual","2016","2016",1087,,
"ERP","Estimated Resident Population","1","Males","A04","0 - 4","SA2","Statistical Area Level 2","116031317","Mount Druitt - Whalan","A","Annual","2016","2016",1024,,
"ERP","Estimated Resident Population","2","Females","A04","0 - 4","SA2","Statistical Area Level 2","116031317","Mount Druitt - Whalan","A","Annual","2016","2016",1058,,
"ERP","Estimated Resident Population","1","Males","A04","0 - 4","SA2","Statistical Area Level 2","116031318","Prospect Reservoir","A","Annual","2016","2016",0,,
"ERP","Estimated Resident Population","2","Females","A04","0 - 4","SA2","Statistical Area Level 2","116031318","Prospect Reservoir","A","Annual","2016","2016",0,,
"ERP","Estimated Resident Population","1","Males","A04","0 - 4","SA2","Statistical Area Level 2","116031319","Rooty Hill - Minchinbury","A","Annual","2016","2016",803,,
"ERP","Estimated Resident Population","2","Females","A04","0 - 4","SA2","Statistical Area Level 2","116031319","Rooty Hill - Minchinbury","A","Annual","2016","2016",757,,
"ERP","Estimated Resident Population","1","Males","A04","0 - 4","SA2","Statistical Area Level 2","117011320","Banksmeadow","A","Annual","2016","2016",1,,
"ERP","Estimated Resident Population","2","Females","A04","0 - 4","SA2","Statistical Area Level 2","117011320","Banksmeadow","A","Annual","2016","2016",0,,
"ERP","Estimated Resident Population","1","Males","A04","0 - 4","SA2","Statistical Area Level 2","117011321","Botany","A","Annual","2016","2016",487,,
"ERP","Estimated Resident Population","2","Females","A04","0 - 4","SA2","Statistical Area Level 2","117011321","Botany","A","Annual","2016","2016",374,,
"ERP","Estimated Resident Population","1","Males","A04","0 - 4","SA2","Statistical Area Level 2","117011322","Mascot - Eastlakes","A","Annual","2016","2016",794,,
"ERP","Estimated Resident Population","2","Females","A04","0 - 4","SA2","Statistical Area Level 2","117011322","Mascot - Eastlakes","A","Annual","2016","2016",793,,
"ERP","Estimated Resident Population","1","Males","A04","0 - 4","SA2","Statistical Area Level 2","117011323","Pagewood - Hillsdale - Daceyville","A","Annual","2016","2016",343,,
"ERP","Estimated Resident Population","2","Females","A04","0 - 4","SA2","Statistical Area Level 2","117011323","Pagewood - Hillsdale - Daceyville","A","Annual","2016","2016",331,,
"ERP","Estimated Resident Population","1","Males","A04","0 - 4","SA2","Statistical Area Level 2","117011324","Port Botany Industrial","A","Annual","2016","2016",0,,
"ERP","Estimated Resident Population","2","Females","A04","0 - 4","SA2","Statistical Area Level 2","117011324","Port Botany Industrial","A","Annual","2016","2016",0,,
"ERP","Estimated Resident Population","1","Males","A04","0 - 4","SA2","Statistical Area Level 2","117011325","Sydney Airport","A","Annual","2016","2016",0,,
"ERP","Estimated Resident Population","2","Females","A04","0 - 4","SA2","Statistical Area Level 2","117011325","Sydney Airport","A","Annual","2016","2016",0,,
"ERP","Estimated Resident Population","1","Males","A04","0 - 4","SA2","Statistical Area Level 2","117021326","Marrickville","A","Annual","2016","2016",821,,
"ERP","Estimated Resident Population","2","Females","A04","0 - 4","SA2","Statistical Area Level 2","117021326","Marrickville","A","Annual","2016","2016",745,,
"ERP","Estimated Resident Population","1","Males","A04","0 - 4","SA2","Statistical Area Level 2","117021327","Petersham - Stanmore","A","Annual","2016","2016",590,,
"ERP","Estimated Resident Population","2","Females","A04","0 - 4","SA2","Statistical Area Level 2","117021327","Petersham - Stanmore","A","Annual","2016","2016",534,,
"ERP","Estimated Resident Population","1","Males","A04","0 - 4","SA2","Statistical Area Level 2","117021328","Sydenham - Tempe - St Peters","A","Annual","2016","2016",248,,
"ERP","Estimated Resident Population","2","Females","A04","0 - 4","SA2","Statistical Area Level 2","117021328","Sydenham - Tempe - St Peters","A","Annual","2016","2016",277,,
"ERP","Estimated Resident Population","1","Males","A04","0 - 4","SA2","Statistical Area Level 2","117031329","Darlinghurst","A","Annual","2016","2016",160,,
"ERP","Estimated Resident Population","2","Females","A04","0 - 4","SA2","Statistical Area Level 2","117031329","Darlinghurst","A","Annual","2016","2016",167,,
"ERP","Estimated Resident Population","1","Males","A04","0 - 4","SA2","Statistical Area Level 2","117031330","Erskineville - Alexandria","A","Annual","2016","2016",477,,
"ERP","Estimated Resident Population","2","Females","A04","0 - 4","SA2","Statistical Area Level 2","117031330","Erskineville - Alexandria","A","Annual","2016","2016",456,,
"ERP","Estimated Resident Population","1","Males","A04","0 - 4","SA2","Statistical Area Level 2","117031331","Glebe - Forest Lodge","A","Annual","2016","2016",413,,
"ERP","Estimated Resident Population","2","Females","A04","0 - 4","SA2","Statistical Area Level 2","117031331","Glebe - Forest Lodge","A","Annual","2016","2016",409,,
"ERP","Estimated Resident Population","1","Males","A04","0 - 4","SA2","Statistical Area Level 2","117031332","Newtown - Camperdown - Darlington","A","Annual","2016","2016",510,,
"ERP","Estimated Resident Population","2","Females","A04","0 - 4","SA2","Statistical Area Level 2","117031332","Newtown - Camperdown - Darlington","A","Annual","2016","2016",501,,
"ERP","Estimated Resident Population","1","Males","A04","0 - 4","SA2","Statistical Area Level 2","117031333","Potts Point - Woolloomooloo","A","Annual","2016","2016",259,,
"ERP","Estimated Resident Population","2","Females","A04","0 - 4","SA2","Statistical Area Level 2","117031333","Potts Point - Woolloomooloo","A","Annual","2016","2016",231,,
"ERP","Estimated Resident Population","1","Males","A04","0 - 4","SA2","Statistical Area Level 2","117031334","Pyrmont - Ultimo","A","Annual","2016","2016",454,,
"ERP","Estimated Resident Population","2","Females","A04","0 - 4","SA2","Statistical Area Level 2","117031334","Pyrmont - Ultimo","A","Annual","2016","2016",421,,
"ERP","Estimated Resident Population","1","Males","A04","0 - 4","SA2","Statistical Area Level 2","117031335","Redfern - Chippendale","A","Annual","2016","2016",362,,
"ERP","Estimated Resident Population","2","Females","A04","0 - 4","SA2","Statistical Area Level 2","117031335","Redfern - Chippendale","A","Annual","2016","2016",333,,
"ERP","Estimated Resident Population","1","Males","A04","0 - 4","SA2","Statistical Area Level 2","117031336","Surry Hills","A","Annual","2016","2016",242,,
"ERP","Estimated Resident Population","2","Females","A04","0 - 4","SA2","Statistical Area Level 2","117031336","Surry Hills","A","Annual","2016","2016",248,,
"ERP","Estimated Resident Population","1","Males","A04","0 - 4","SA2","Statistical Area Level 2","117031337","Sydney - Haymarket - The Rocks","A","Annual","2016","2016",417,,
"ERP","Estimated Resident Population","2","Females","A04","0 - 4","SA2","Statistical Area Level 2","117031337","Sydney - Haymarket - The Rocks","A","Annual","2016","2016",386,,
"ERP","Estimated Resident Population","1","Males","A04","0 - 4","SA2","Statistical Area Level 2","117031338","Waterloo - Beaconsfield","A","Annual","2016","2016",794,,
"ERP","Estimated Resident Population","2","Females","A04","0 - 4","SA2","Statistical Area Level 2","117031338","Waterloo - Beaconsfield","A","Annual","2016","2016",822,,
"ERP","Estimated Resident Population","1","Males","A04","0 - 4","SA2","Statistical Area Level 2","118011339","Bondi - Tamarama - Bronte","A","Annual","2016","2016",611,,
"ERP","Estimated Resident Population","2","Females","A04","0 - 4","SA2","Statistical Area Level 2","118011339","Bondi - Tamarama - Bronte","A","Annual","2016","2016",591,,
"ERP","Estimated Resident Population","1","Males","A04","0 - 4","SA2","Statistical Area Level 2","118011340","Bondi Beach - North Bondi","A","Annual","2016","2016",757,,
"ERP","Estimated Resident Population","2","Females","A04","0 - 4","SA2","Statistical Area Level 2","118011340","Bondi Beach - North Bondi","A","Annual","2016","2016",653,,
"ERP","Estimated Resident Population","1","Males","A04","0 - 4","SA2","Statistical Area Level 2","118011341","Bondi Junction - Waverly","A","Annual","2016","2016",559,,
"ERP","Estimated Resident Population","2","Females","A04","0 - 4","SA2","Statistical Area Level 2","118011341","Bondi Junction - Waverly","A","Annual","2016","2016",523,,
"ERP","Estimated Resident Population","1","Males","A04","0 - 4","SA2","Statistical Area Level 2","118011342","Centennial Park","A","Annual","2016","2016",0,,
"ERP","Estimated Resident Population","2","Females","A04","0 - 4","SA2","Statistical Area Level 2","118011342","Centennial Park","A","Annual","2016","2016",0,,
"ERP","Estimated Resident Population","1","Males","A04","0 - 4","SA2","Statistical Area Level 2","118011343","Double Bay - Bellevue Hill","A","Annual","2016","2016",645,,
"ERP","Estimated Resident Population","2","Females","A04","0 - 4","SA2","Statistical Area Level 2","118011343","Double Bay - Bellevue Hill","A","Annual","2016","2016",687,,
"ERP","Estimated Resident Population","1","Males","A04","0 - 4","SA2","Statistical Area Level 2","118011344","Dover Heights","A","Annual","2016","2016",416,,
